level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1489	2105	-1	
2	1	1	0	0	0	1024	19	103	23	-1	
3	1	1	1	0	0	1024	19	103	23	-1	
4	1	1	1	1	0	1024	19	103	23	-1	
5	1	1	1	1	1	1024	19	103	23	52.019730	——=|
2	1	2	0	0	0	613	23	263	27	-1	
3	1	2	1	0	0	613	23	263	27	-1	
4	1	2	1	1	0	613	23	263	27	-1	
5	1	2	1	1	1	613	23	136	27	96.403984	PERFECT
5	1	2	1	1	2	758	23	118	27	96.607765	WOMEN
2	1	3	0	0	0	1025	48	102	21	-1	
3	1	3	1	0	0	1025	48	102	21	-1	
4	1	3	1	1	0	1025	48	102	21	-1	
5	1	3	1	1	1	1025	48	102	21	26.881218	Le
2	1	4	0	0	0	801	158	60	36	-1	
3	1	4	1	0	0	801	158	60	36	-1	
4	1	4	1	1	0	801	158	60	36	-1	
5	1	4	1	1	1	801	158	60	36	60.283714	UU
2	1	5	0	0	0	518	148	109	55	-1	
3	1	5	1	0	0	518	148	109	55	-1	
4	1	5	1	1	0	518	148	109	55	-1	
5	1	5	1	1	1	518	148	109	55	83.655907	LOW
2	1	6	0	0	0	599	215	292	31	-1	
3	1	6	1	0	0	599	215	292	31	-1	
4	1	6	1	1	0	599	215	292	31	-1	
5	1	6	1	1	1	599	216	44	30	96.784782	Day
5	1	6	1	1	2	655	217	30	22	33.575432	1°
5	1	6	1	1	3	697	215	51	31	96.796516	legs
5	1	6	1	1	4	758	215	44	24	93.245842	and
5	1	6	1	1	5	814	215	77	31	92.906166	glutes
2	1	7	0	0	0	1091	260	13	10	-1	
3	1	7	1	0	0	1091	260	13	10	-1	
4	1	7	1	1	0	1091	260	13	10	-1	
5	1	7	1	1	1	1091	260	13	10	31.458603	at
2	1	8	0	0	0	315	269	57	14	-1	
3	1	8	1	0	0	315	269	57	14	-1	
4	1	8	1	1	0	315	269	57	14	-1	
5	1	8	1	1	1	315	269	35	14	90.282707	SETS
5	1	8	1	1	2	356	265	16	27	90.282707	BY
